1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
-3.43,-3.34,-3.75,-3.71,-3.51,-3.44,-3.46,-3.93,-3.83,-3.71,-3.67,-4.09,-3.97,-3.85,-3.85,-4.49,-4.32,-4.17,-4.14,-4.45
-2.19,-2.10,-2.50,-2.46,-2.26,-2.20,-2.22,-2.68,-2.58,-2.46,-2.43,-2.83,-2.72,-2.61,-2.61,-3.23,-3.07,-2.92,-2.89,-3.20
0.04,0.11,-0.25,-0.22,-0.03,0.02,-0.01,-0.42,-0.33,-0.22,-0.20,-0.57,-0.47,-0.36,-0.37,-0.95,-0.80,-0.66,-0.64,-0.94
2.71,2.79,2.41,2.44,2.64,2.70,2.67,2.24,2.33,2.45,2.48,2.09,2.20,2.31,2.31,1.70,1.86,2.01,2.03,1.73
3.77,3.85,3.46,3.50,3.70,3.76,3.75,3.29,3.39,3.51,3.55,3.15,3.26,3.38,3.38,2.76,2.92,3.07,3.10,2.80
3.81,3.90,3.50,3.54,3.74,3.81,3.79,3.33,3.43,3.55,3.59,3.19,3.30,3.42,3.42,2.80,2.96,3.11,3.15,2.84
2.66,2.75,2.34,2.38,2.59,2.66,2.65,2.17,2.28,2.40,2.44,2.02,2.14,2.27,2.27,1.63,1.79,1.95,1.99,1.68
0.82,0.90,0.51,0.55,0.74,0.81,0.79,0.34,0.44,0.56,0.59,0.19,0.30,0.42,0.42,-0.20,-0.04,0.11,0.14,-0.17
0.45,0.53,0.13,0.17,0.37,0.44,0.42,-0.04,0.06,0.18,0.22,-0.19,-0.08,0.04,0.04,-0.59,-0.43,-0.27,-0.24,-0.55
1.28,1.36,0.98,1.01,1.20,1.26,1.24,0.80,0.89,1.01,1.04,0.65,0.76,0.87,0.86,0.26,0.41,0.56,0.59,0.28
2.18,2.26,1.88,1.91,2.10,2.16,2.14,1.70,1.79,1.91,1.94,1.55,1.66,1.77,1.76,1.16,1.31,1.46,1.49,1.18
1.53,1.61,1.22,1.25,1.45,1.51,1.49,1.04,1.14,1.26,1.29,0.89,1.00,1.11,1.11,0.50,0.66,0.80,0.83,0.53
3.09,3.17,2.79,2.82,3.02,3.08,3.05,2.61,2.71,2.83,2.86,2.46,2.57,2.68,2.68,2.08,2.23,2.38,2.40,2.10
1.68,1.77,1.36,1.40,1.61,1.68,1.66,1.19,1.29,1.42,1.46,1.04,1.16,1.28,1.29,0.65,0.81,0.97,1.01,0.69
0.98,1.07,0.66,0.70,0.91,0.98,0.97,0.49,0.60,0.72,0.76,0.35,0.47,0.59,0.59,-0.05,0.12,0.27,0.31,0.00
0.12,0.21,-0.20,-0.16,0.05,0.12,0.10,-0.37,-0.27,-0.14,-0.10,-0.52,-0.40,-0.28,-0.28,-0.92,-0.76,-0.60,-0.56,-0.88
0.44,0.52,0.13,0.16,0.36,0.42,0.40,-0.05,0.04,0.16,0.20,-0.21,-0.10,0.02,0.02,-0.60,-0.45,-0.30,-0.26,-0.58
0.42,0.50,0.12,0.15,0.35,0.41,0.39,-0.05,0.04,0.16,0.19,-0.20,-0.09,0.02,0.02,-0.59,-0.43,-0.28,-0.26,-0.56
-0.69,-0.60,-1.01,-0.97,-0.77,-0.70,-0.72,-1.19,-1.09,-0.97,-0.93,-1.35,-1.23,-1.11,-1.11,-1.75,-1.59,-1.43,-1.40,-1.71
-0.24,-0.15,-0.56,-0.52,-0.32,-0.25,-0.27,-0.74,-0.63,-0.51,-0.47,-0.89,-0.77,-0.65,-0.65,-1.28,-1.12,-0.97,-0.93,-1.25
1.30,1.39,0.98,1.02,1.23,1.29,1.28,0.81,0.91,1.04,1.07,0.66,0.77,0.90,0.90,0.26,0.42,0.58,0.62,0.30
2.01,2.10,1.70,1.74,1.94,2.01,1.99,1.52,1.63,1.75,1.79,1.38,1.49,1.61,1.62,0.98,1.14,1.30,1.33,1.02
1.90,1.99,1.59,1.63,1.83,1.90,1.88,1.41,1.52,1.64,1.68,1.27,1.38,1.50,1.51,0.87,1.04,1.19,1.23,0.91
0.89,0.98,0.58,0.62,0.82,0.88,0.87,0.40,0.50,0.63,0.66,0.25,0.36,0.48,0.49,-0.15,0.01,0.17,0.20,-0.11
0.74,0.83,0.42,0.46,0.67,0.73,0.72,0.25,0.35,0.47,0.51,0.10,0.21,0.33,0.34,-0.30,-0.14,0.02,0.05,-0.26
-1.39,-1.31,-1.70,-1.66,-1.47,-1.40,-1.42,-1.88,-1.78,-1.66,-1.62,-2.03,-1.92,-1.80,-1.80,-2.42,-2.26,-2.11,-2.08,-2.39
-0.65,-0.56,-0.97,-0.93,-0.73,-0.66,-0.67,-1.15,-1.05,-0.92,-0.88,-1.30,-1.19,-1.06,-1.06,-1.70,-1.54,-1.38,-1.35,-1.66
-0.38,-0.30,-0.68,-0.65,-0.45,-0.39,-0.42,-0.86,-0.76,-0.64,-0.61,-1.00,-0.90,-0.78,-0.79,-1.39,-1.24,-1.09,-1.06,-1.37
1.05,1.13,0.75,0.78,0.98,1.04,1.02,0.58,0.68,0.79,0.83,0.44,0.55,0.66,0.66,0.06,0.21,0.36,0.39,0.09
1.63,1.71,1.34,1.38,1.57,1.63,1.61,1.18,1.27,1.39,1.42,1.04,1.15,1.26,1.26,0.66,0.82,0.96,0.99,0.70
-0.97,-0.89,-1.28,-1.24,-1.04,-0.97,-0.99,-1.44,-1.34,-1.22,-1.19,-1.59,-1.47,-1.36,-1.36,-1.97,-1.81,-1.66,-1.63,-1.93
-3.41,-3.33,-3.73,-3.69,-3.49,-3.42,-3.43,-3.90,-3.80,-3.68,-3.64,-4.05,-3.94,-3.81,-3.81,-4.45,-4.28,-4.13,-4.09,-4.40
-3.54,-3.46,-3.84,-3.81,-3.61,-3.55,-3.57,-4.02,-3.92,-3.80,-3.77,-4.16,-4.05,-3.94,-3.94,-4.55,-4.39,-4.24,-4.21,-4.52
-3.02,-2.93,-3.33,-3.29,-3.08,-3.02,-3.03,-3.49,-3.39,-3.27,-3.23,-3.63,-3.52,-3.40,-3.39,-4.02,-3.86,-3.70,-3.67,-3.97
-2.46,-2.38,-2.76,-2.72,-2.53,-2.46,-2.48,-2.93,-2.83,-2.71,-2.68,-3.07,-2.96,-2.84,-2.84,-3.45,-3.29,-3.14,-3.11,-3.41
-1.52,-1.44,-1.82,-1.78,-1.59,-1.53,-1.55,-1.98,-1.89,-1.77,-1.74,-2.13,-2.02,-1.90,-1.91,-2.51,-2.35,-2.21,-2.18,-2.48
0.19,0.28,-0.11,-0.07,0.13,0.19,0.17,-0.28,-0.18,-0.06,-0.02,-0.42,-0.31,-0.19,-0.19,-0.80,-0.65,-0.49,-0.46,-0.76
0.22,0.30,-0.08,-0.04,0.15,0.22,0.20,-0.25,-0.15,-0.03,0.01,-0.39,-0.28,-0.16,-0.16,-0.77,-0.61,-0.46,-0.43,-0.73
1.95,2.03,1.66,1.69,1.89,1.95,1.93,1.49,1.59,1.70,1.74,1.35,1.46,1.57,1.57,0.97,1.12,1.27,1.30,1.00
2.31,2.39,2.01,2.04,2.24,2.30,2.28,1.84,1.94,2.06,2.09,1.70,1.81,1.92,1.92,1.32,1.48,1.62,1.65,1.36
4.34,4.43,4.02,4.06,4.27,4.34,4.32,3.85,3.95,4.08,4.12,3.70,3.82,3.95,3.95,3.31,3.48,3.63,3.67,3.36
4.55,4.63,4.25,4.29,4.48,4.55,4.53,4.08,4.18,4.30,4.33,3.94,4.05,4.17,4.17,3.56,3.72,3.87,3.90,3.60
4.57,4.65,4.28,4.31,4.50,4.56,4.53,4.11,4.21,4.32,4.35,3.97,4.08,4.19,4.18,3.60,3.75,3.89,3.92,3.62
6.52,6.61,6.21,6.25,6.46,6.53,6.51,6.04,6.15,6.27,6.31,5.90,6.02,6.14,6.14,5.51,5.67,5.83,5.87,5.56
4.32,4.40,4.03,4.06,4.25,4.31,4.28,3.86,3.96,4.07,4.10,3.72,3.83,3.94,3.93,3.35,3.50,3.64,3.67,3.37
4.82,4.91,4.51,4.55,4.76,4.82,4.81,4.34,4.45,4.57,4.61,4.20,4.32,4.44,4.44,3.81,3.97,4.13,4.16,3.86
1.87,1.94,1.59,1.61,1.80,1.84,1.81,1.42,1.50,1.61,1.63,1.27,1.37,1.47,1.46,0.90,1.04,1.18,1.19,0.90
4.20,4.27,3.91,3.94,4.13,4.18,4.16,3.74,3.83,3.94,3.97,3.60,3.70,3.81,3.80,3.22,3.37,3.52,3.54,3.25
5.29,5.38,4.99,5.03,5.22,5.29,5.27,4.82,4.92,5.04,5.07,4.67,4.79,4.90,4.90,4.29,4.45,4.60,4.63,4.32
4.33,4.41,4.02,4.06,4.26,4.32,4.31,3.84,3.95,4.07,4.11,3.70,3.82,3.94,3.94,3.31,3.47,3.62,3.66,3.35
4.15,4.24,3.84,3.88,4.08,4.14,4.13,3.66,3.77,3.89,3.93,3.52,3.63,3.75,3.75,3.13,3.29,3.44,3.48,3.17
4.53,4.61,4.22,4.26,4.46,4.52,4.50,4.05,4.15,4.27,4.30,3.90,4.01,4.13,4.13,3.51,3.67,3.82,3.86,3.55
5.47,5.56,5.17,5.21,5.41,5.47,5.45,5.00,5.10,5.22,5.25,4.86,4.97,5.09,5.09,4.47,4.63,4.78,4.81,4.51
2.38,2.46,2.08,2.12,2.31,2.37,2.35,1.91,2.00,2.12,2.15,1.76,1.87,1.98,1.98,1.37,1.53,1.68,1.70,1.40
2.88,2.96,2.57,2.61,2.81,2.87,2.85,2.40,2.50,2.62,2.65,2.25,2.37,2.48,2.48,1.86,2.02,2.17,2.21,1.90
2.09,2.17,1.79,1.82,2.02,2.08,2.05,1.62,1.71,1.83,1.85,1.47,1.57,1.69,1.68,1.08,1.23,1.38,1.41,1.10
3.22,3.30,2.93,2.96,3.15,3.20,3.18,2.75,2.84,2.95,2.98,2.60,2.70,2.81,2.81,2.21,2.36,2.51,2.53,2.23
3.31,3.39,3.01,3.04,3.23,3.29,3.27,2.83,2.92,3.04,3.07,2.67,2.78,2.89,2.89,2.28,2.44,2.58,2.61,2.30
4.42,4.50,4.10,4.14,4.34,4.41,4.39,3.92,4.03,4.15,4.19,3.77,3.89,4.01,4.01,3.38,3.54,3.69,3.73,3.42
7.16,7.26,6.84,6.88,7.09,7.17,7.16,6.67,6.78,6.91,6.95,6.52,6.65,6.77,6.78,6.13,6.30,6.46,6.50,6.19
5.36,5.45,5.05,5.09,5.30,5.37,5.35,4.88,4.99,5.11,5.15,4.74,4.86,4.98,4.99,4.35,4.51,4.67,4.71,4.40
1.22,1.30,0.94,0.97,1.16,1.22,1.19,0.78,0.87,0.98,1.01,0.64,0.75,0.86,0.85,0.27,0.42,0.57,0.59,0.30
0.85,0.94,0.54,0.58,0.78,0.85,0.84,0.36,0.47,0.59,0.63,0.22,0.34,0.46,0.46,-0.18,-0.01,0.14,0.18,-0.13
1.97,2.05,1.66,1.70,1.89,1.96,1.94,1.48,1.58,1.70,1.74,1.33,1.45,1.56,1.56,0.94,1.10,1.25,1.28,0.97
2.94,3.02,2.64,2.67,2.87,2.93,2.91,2.46,2.56,2.68,2.71,2.32,2.42,2.54,2.53,1.93,2.08,2.23,2.26,1.95
2.75,2.84,2.46,2.49,2.68,2.74,2.72,2.28,2.38,2.50,2.53,2.14,2.25,2.36,2.35,1.75,1.91,2.05,2.08,1.78
3.47,3.56,3.16,3.20,3.40,3.47,3.45,2.98,3.09,3.21,3.25,2.84,2.96,3.08,3.08,2.45,2.61,2.76,2.80,2.49
3.95,4.04,3.64,3.68,3.88,3.95,3.93,3.47,3.57,3.69,3.73,3.33,3.44,3.56,3.56,2.94,3.10,3.25,3.28,2.98
2.98,3.07,2.67,2.71,2.91,2.98,2.96,2.49,2.60,2.72,2.76,2.35,2.47,2.59,2.59,1.96,2.12,2.28,2.31,2.00
1.96,2.05,1.66,1.70,1.89,1.95,1.93,1.49,1.59,1.71,1.74,1.35,1.46,1.57,1.57,0.96,1.12,1.26,1.29,0.99
3.26,3.34,2.96,2.99,3.19,3.25,3.23,2.78,2.88,3.00,3.03,2.64,2.75,2.86,2.86,2.25,2.41,2.56,2.59,2.28
4.48,4.57,4.16,4.21,4.41,4.48,4.47,4.00,4.10,4.23,4.27,3.86,3.98,4.10,4.11,3.47,3.63,3.79,3.83,3.52
1.28,1.37,0.98,1.01,1.21,1.28,1.26,0.81,0.91,1.03,1.06,0.66,0.78,0.89,0.89,0.28,0.44,0.59,0.62,0.32
0.95,1.03,0.66,0.69,0.88,0.93,0.91,0.48,0.57,0.69,0.71,0.33,0.44,0.55,0.54,-0.05,0.10,0.24,0.27,-0.03
1.94,2.02,1.64,1.67,1.87,1.93,1.91,1.47,1.56,1.68,1.71,1.32,1.43,1.54,1.54,0.93,1.09,1.23,1.26,0.96
2.23,2.32,1.92,1.96,2.16,2.23,2.21,1.75,1.85,1.97,2.01,1.60,1.72,1.83,1.84,1.21,1.37,1.52,1.56,1.25
1.06,1.15,0.75,0.79,0.99,1.05,1.03,0.58,0.68,0.80,0.83,0.43,0.54,0.66,0.66,0.04,0.20,0.35,0.38,0.07
1.45,1.54,1.14,1.18,1.38,1.45,1.43,0.97,1.07,1.19,1.23,0.82,0.93,1.05,1.05,0.43,0.59,0.74,0.77,0.46
-0.36,-0.27,-0.66,-0.63,-0.43,-0.37,-0.39,-0.84,-0.74,-0.62,-0.59,-0.99,-0.88,-0.76,-0.76,-1.38,-1.22,-1.07,-1.04,-1.35
-2.31,-2.22,-2.62,-2.58,-2.38,-2.31,-2.33,-2.79,-2.69,-2.57,-2.53,-2.94,-2.82,-2.70,-2.70,-3.33,-3.17,-3.02,-2.98,-3.29
-2.09,-2.00,-2.42,-2.37,-2.16,-2.09,-2.10,-2.59,-2.48,-2.35,-2.31,-2.74,-2.62,-2.49,-2.48,-3.13,-2.97,-2.81,-2.77,-3.08
-1.39,-1.31,-1.70,-1.66,-1.46,-1.40,-1.42,-1.87,-1.77,-1.65,-1.62,-2.02,-1.91,-1.79,-1.79,-2.40,-2.25,-2.10,-2.07,-2.37
-1.44,-1.36,-1.73,-1.70,-1.51,-1.46,-1.48,-1.91,-1.82,-1.71,-1.68,-2.06,-1.96,-1.85,-1.86,-2.45,-2.30,-2.15,-2.13,-2.43
1.10,1.17,0.80,0.83,1.02,1.08,1.06,0.63,0.72,0.83,0.86,0.48,0.59,0.70,0.69,0.10,0.25,0.39,0.42,0.12
4.21,4.29,3.90,3.94,4.14,4.21,4.19,3.73,3.83,3.96,3.99,3.59,3.70,3.82,3.83,3.20,3.36,3.52,3.55,3.25
4.95,5.04,4.64,4.68,4.89,4.96,4.94,4.47,4.58,4.70,4.74,4.33,4.45,4.57,4.58,3.94,4.11,4.26,4.30,3.99
2.63,2.71,2.33,2.36,2.56,2.62,2.59,2.16,2.25,2.37,2.40,2.01,2.12,2.23,2.22,1.62,1.78,1.92,1.95,1.65
1.18,1.26,0.88,0.91,1.11,1.17,1.14,0.70,0.80,0.91,0.95,0.55,0.66,0.77,0.77,0.16,0.32,0.47,0.49,0.19
3.08,3.16,2.77,2.81,3.01,3.07,3.05,2.60,2.70,2.82,2.85,2.46,2.57,2.68,2.68,2.07,2.23,2.38,2.41,2.10
4.63,4.71,4.32,4.36,4.56,4.62,4.60,4.16,4.26,4.38,4.41,4.01,4.13,4.24,4.24,3.63,3.79,3.94,3.97,3.67
3.39,3.47,3.10,3.13,3.32,3.38,3.35,2.94,3.03,3.14,3.17,2.79,2.90,3.01,3.00,2.42,2.57,2.71,2.74,2.44
5.29,5.38,4.97,5.02,5.22,5.29,5.27,4.80,4.91,5.03,5.07,4.66,4.78,4.90,4.90,4.27,4.43,4.59,4.62,4.31
4.60,4.69,4.28,4.32,4.53,4.60,4.59,4.11,4.22,4.35,4.39,3.97,4.09,4.22,4.22,3.58,3.74,3.90,3.94,3.63
4.66,4.75,4.36,4.40,4.60,4.66,4.64,4.19,4.29,4.41,4.44,4.04,4.16,4.27,4.27,3.65,3.81,3.97,4.00,3.69
7.56,7.64,7.25,7.29,7.49,7.55,7.53,7.08,7.18,7.30,7.33,6.93,7.04,7.16,7.16,6.54,6.70,6.85,6.88,6.58
6.64,6.72,6.34,6.37,6.57,6.63,6.61,6.16,6.26,6.38,6.41,6.02,6.13,6.24,6.24,5.63,5.79,5.93,5.96,5.66
5.73,5.81,5.42,5.46,5.66,5.72,5.71,5.25,5.35,5.47,5.51,5.10,5.22,5.34,5.34,4.71,4.87,5.03,5.06,4.75
5.49,5.58,5.18,5.22,5.43,5.50,5.48,5.01,5.12,5.24,5.29,4.87,4.99,5.11,5.12,4.48,4.65,4.80,4.84,4.53
4.52,4.61,4.22,4.26,4.46,4.52,4.51,4.05,4.15,4.27,4.31,3.91,4.02,4.14,4.14,3.52,3.69,3.84,3.87,3.57
5.57,5.66,5.26,5.30,5.50,5.57,5.56,5.09,5.19,5.32,5.36,4.95,5.06,5.18,5.19,4.56,4.72,4.87,4.91,4.60
6.45,6.55,6.12,6.17,6.38,6.45,6.45,5.95,6.06,6.19,6.24,5.80,5.93,6.05,6.06,5.40,5.57,5.73,5.78,5.46
7.52,7.61,7.21,7.25,7.45,7.52,7.50,7.04,7.14,7.26,7.30,6.89,7.01,7.13,7.13,6.50,6.66,6.81,6.85,6.54
8.22,8.30,7.93,7.96,8.15,8.21,8.19,7.76,7.86,7.97,8.00,7.62,7.73,7.84,7.84,7.24,7.39,7.54,7.57,7.27
9.61,9.67,9.34,9.36,9.54,9.59,9.55,9.17,9.26,9.36,9.38,9.03,9.13,9.23,9.22,8.67,8.81,8.95,8.96,8.68
6.19,6.28,5.88,5.92,6.12,6.19,6.18,5.70,5.81,5.93,5.97,5.56,5.68,5.80,5.80,5.17,5.33,5.49,5.52,5.21
6.66,6.74,6.37,6.40,6.60,6.66,6.64,6.20,6.30,6.42,6.45,6.07,6.18,6.30,6.29,5.69,5.85,6.00,6.03,5.73
6.90,6.99,6.58,6.63,6.84,6.91,6.90,6.42,6.53,6.66,6.70,6.28,6.40,6.53,6.53,5.89,6.06,6.22,6.26,5.95
6.44,6.53,6.13,6.17,6.38,6.45,6.44,5.97,6.08,6.20,6.25,5.83,5.95,6.08,6.09,5.45,5.61,5.77,5.81,5.51
8.89,8.99,8.56,8.62,8.83,8.91,8.91,8.40,8.52,8.65,8.71,8.27,8.40,8.53,8.55,7.87,8.05,8.21,8.26,7.95
3.93,4.01,3.64,3.67,3.87,3.93,3.91,3.48,3.58,3.70,3.73,3.35,3.46,3.58,3.58,2.98,3.13,3.28,3.32,3.03
3.85,3.94,3.55,3.59,3.79,3.85,3.84,3.38,3.48,3.61,3.64,3.24,3.36,3.48,3.48,2.85,3.02,3.17,3.21,2.90
3.56,3.65,3.24,3.28,3.49,3.56,3.55,3.06,3.17,3.30,3.34,2.91,3.03,3.16,3.17,2.51,2.68,2.84,2.88,2.56
7.11,7.21,6.79,6.84,7.05,7.12,7.11,6.62,6.73,6.86,6.91,6.48,6.60,6.73,6.74,6.09,6.25,6.41,6.46,6.14
8.55,8.65,8.23,8.28,8.49,8.56,8.56,8.07,8.18,8.31,8.35,7.93,8.05,8.18,8.19,7.53,7.70,7.86,7.91,7.60
5.10,5.18,4.81,4.84,5.04,5.10,5.07,4.64,4.74,4.85,4.89,4.50,4.61,4.72,4.72,4.12,4.28,4.43,4.45,4.16
5.06,5.13,4.79,4.81,5.00,5.05,5.02,4.62,4.70,4.81,4.84,4.48,4.58,4.68,4.67,4.11,4.25,4.39,4.41,4.12
4.99,5.05,4.72,4.74,4.92,4.96,4.92,4.55,4.63,4.73,4.74,4.40,4.50,4.59,4.57,4.03,4.17,4.30,4.32,4.03
6.40,6.48,6.09,6.13,6.33,6.39,6.37,5.92,6.02,6.14,6.17,5.77,5.89,6.00,6.00,5.39,5.55,5.70,5.73,5.42
6.75,6.84,6.44,6.48,6.69,6.75,6.74,6.28,6.38,6.51,6.55,6.14,6.26,6.38,6.38,5.75,5.92,6.07,6.11,5.81
5.41,5.49,5.11,5.14,5.34,5.40,5.37,4.94,5.03,5.15,5.18,4.79,4.90,5.01,5.01,4.40,4.56,4.71,4.74,4.43
6.97,7.05,6.68,6.71,6.90,6.96,6.93,6.51,6.60,6.72,6.75,6.37,6.48,6.59,6.58,5.99,6.14,6.29,6.31,6.02
6.09,6.17,5.79,5.82,6.02,6.08,6.06,5.62,5.72,5.84,5.87,5.48,5.59,5.70,5.70,5.10,5.25,5.40,5.43,5.13
6.56,6.64,6.27,6.30,6.50,6.55,6.53,6.11,6.20,6.32,6.35,5.97,6.08,6.19,6.19,5.60,5.75,5.90,5.93,5.64
5.65,5.72,5.36,5.39,5.58,5.64,5.61,5.20,5.29,5.40,5.43,5.06,5.17,5.28,5.27,4.69,4.84,4.98,5.01,4.72
5.19,5.27,4.91,4.94,5.13,5.18,5.15,4.75,4.83,4.94,4.97,4.60,4.71,4.81,4.80,4.23,4.38,4.52,4.54,4.25
